code,location,registered,envelopes,valid,Obèanská demokratická strana,Øád národa - Vlastenecká unie,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,Èeská str.sociálnì demokrat.,Radostné Èesko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Èech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných obèanù,Blok proti islam.-Obran.domova,Obèanská demokratická aliance,Èeská pirátská strana
529931,Kondrac,383,272,267,28,2,0,35,0,29,24,1,6,1,0,1,28
529940,Kozmice,241,171,170,21,0,0,12,0,6,13,2,5,2,0,0,19
529958,Krhanice,765,505,502,70,1,0,20,0,58,27,7,3,7,0,1,68
529974,Kròany,361,242,241,38,1,0,10,0,12,20,2,0,6,0,1,27
529991,Køeèovice,632,451,448,30,0,1,24,0,47,40,8,5,0,1,0,55
530000,Køivsoudov,351,222,222,17,0,0,16,0,19,11,4,1,3,0,3,41
530026,Kuòovice,66,61,61,5,0,0,3,0,6,3,0,0,0,0,0,3
530051,Lešany,567,371,370,37,0,0,13,0,31,39,6,1,13,2,1,40
530069,Libež,156,107,107,5,2,0,10,0,3,15,0,0,2,0,0,3
532258,Litichovice,54,39,39,2,0,0,0,0,4,4,1,0,0,0,1,3
530093,Loket,456,351,350,24,0,0,31,0,16,28,2,4,6,0,0,46
530107,Louòovice pod Blaníkem,563,369,365,43,2,0,32,0,25,25,4,1,0,0,0,35
532193,Lštìní,331,225,226,32,0,0,11,0,24,20,2,1,6,0,1,30
530115,Maršovice,602,421,419,26,0,0,23,0,35,43,11,2,4,0,0,55
530158,Mezno,297,203,201,20,0,0,18,0,19,24,0,1,11,0,0,18
530166,Milièín,728,449,449,33,0,0,27,0,44,28,6,6,3,0,1,40
530174,Miøetice,149,102,100,18,0,0,2,0,8,0,0,0,0,0,0,9
530191,Mnichovice,184,114,114,8,0,0,9,0,5,16,3,1,0,2,0,10
530204,Mraè,637,431,429,47,0,0,19,0,56,34,12,4,7,0,0,47
530212,Naèeradec,881,512,509,42,1,0,28,1,42,52,2,1,6,1,1,51
530263,Nespeky,545,390,388,65,0,0,24,0,26,19,6,1,3,0,0,63
530298,Netvoøice,899,575,573,64,1,0,42,0,46,60,6,1,10,1,0,60
530301,Neustupov,423,264,263,5,0,0,26,0,24,21,3,4,11,0,0,15
530310,Neveklov,2080,1238,1218,153,2,0,81,1,76,82,21,8,18,3,3,147
530344,Olbramovice,991,664,660,44,0,1,41,0,57,61,9,3,1,0,0,49
599395,Ostrov,52,32,30,2,0,0,0,0,3,4,0,0,0,0,1,5
530352,Ostøedek,292,206,205,18,0,0,15,0,18,6,2,8,3,1,0,25
533076,Pavlovice,168,121,119,4,2,0,13,0,6,15,2,4,2,0,0,6
530409,Petroupim,243,161,161,21,2,0,13,0,22,6,3,2,0,1,0,13
532649,Popovice,233,157,155,13,0,0,15,0,10,18,2,1,1,0,0,16
530441,Poøíèí nad Sázavou,987,671,669,102,0,0,46,0,63,24,7,3,9,0,0,51
530450,Postupice,1030,662,653,68,0,0,30,2,70,42,7,3,4,0,0,76
530476,Pravonín,447,290,289,26,0,0,19,0,22,30,2,0,9,0,0,29
530492,Pøestavlky u Èerèan,296,222,221,39,1,0,13,0,10,10,2,4,1,0,0,24
530514,Psáøe,113,69,69,10,0,0,5,0,7,7,1,0,1,0,0,7
538680,Pyšely,1399,1014,1008,175,0,1,60,0,135,40,16,7,18,1,3,146
530522,Rabynì,235,168,168,38,1,0,9,0,11,11,0,2,1,0,0,19
530531,Radošovice,296,184,183,19,1,0,8,0,20,16,0,2,6,0,0,16
